Source,Claim,Debunk_Date,Label,Category,Topics
WHO,having symptoms = get tested,23/11/2020,TRUE,"Vaccines, medical treatments, and tests",
WHO,"While waiting for a test result, you should isolate",23/11/2020,TRUE,"Vaccines, medical treatments, and tests",
WHO,PCR is a molecular test,23/11/2020,TRUE,"Vaccines, medical treatments, and tests",
WHO,Test samples are collected from the throat and nose.,23/11/2020,TRUE,"Vaccines, medical treatments, and tests",
WHO,"Tests confirm an active infection, within the first few days of exposure",23/11/2020,TRUE,"Vaccines, medical treatments, and tests",
WHO,Antigen tests are less accurate,23/11/2020,TRUE,"Vaccines, medical treatments, and tests",
WHO,Antigen tests are best when the individual is most infectious.,23/11/2020,TRUE,"Vaccines, medical treatments, and tests",
WHO,Antibody tests do not diagnose Covid,23/11/2020,TRUE,"Vaccines, medical treatments, and tests",
WHO,Antibody tests tell if you had Covid in the past,23/11/2020,TRUE,"Vaccines, medical treatments, and tests",
WHO,Quarantine means separating from others because you have been close to an infected person,23/11/2020,TRUE,"Vaccines, medical treatments, and tests",
WHO,Isolation means you have tested positive and need to be isolated from others,23/11/2020,TRUE,"Vaccines, medical treatments, and tests",
WHO,It takes 5-6 days to develop symptoms ,23/11/2020,TRUE,"Vaccines, medical treatments, and tests",
WHO,Isolation should last 14 days if tested positive,23/11/2020,TRUE,"Vaccines, medical treatments, and tests",
WHO,"Covid vaccines - AstraZeneca, Moderna, Pfizer.",23/11/2020,TRUE,"Vaccines, medical treatments, and tests",
WHO,Vaccines need to be approved by national regulators.,23/11/2020,TRUE,"Vaccines, medical treatments, and tests",
WHO,Only AstraZeneca has been published in peer-reviewed literature.,23/11/2020,TRUE,"Vaccines, medical treatments, and tests",
WHO,dexamethasone is an emergency steroid for severly ill Covid patients,23/11/2020,TRUE,"Vaccines, medical treatments, and tests",
WHO,"remdesivir, hydroxychloroquine, lopinavir/ritonavir and interferon regimens are not efficient treatments ",23/11/2020,TRUE,"Vaccines, medical treatments, and tests",
WHO,antibiotics do not work against viruses,23/11/2020,TRUE,"Vaccines, medical treatments, and tests",
WHO,"Covid is a virus, not a bacteria",23/11/2020,TRUE,Virus origin and properties,
WHO,Anti-bacterial treatments are not efficient,23/11/2020,TRUE,"Vaccines, medical treatments, and tests",
WHO,Covid is spread through respiratory droplets or contact with contaminated surfaces.,23/11/2020,TRUE,Virus transmission,
MedicalNewsToday,Pets can contract Covid,,TRUE,Virus transmission,
MedicalNewsToday,"Garlic slows down bacterial growth, not viral",,TRUE,Medical advice and self-treatments,
MedicalNewsToday,This type of Covid started in animals,,TRUE,Virus origin and properties,
KCL,Many people are asymptomatic when they get Covid,,TRUE,Virus origin and properties,
KCL,Alcohol solutions can deactivate the virus on surfaces,,TRUE,Medical advice and self-treatments,
KCL,Coartem is not a COVID treatment,,TRUE,"Vaccines, medical treatments, and tests",
