,misconception_id,category,misconception,tweet_id,label
32,13,Medical advice and self-treatments,Whiskey and honey cure coronavirus.,1.23E+18,na
33,43,Medical advice and self-treatments,Miracle Mineral Suppliment (MMS) will prevent and cure COVID-19.,1.23E+18,na
34,37,Virus transmission,Jamaat cannot become a source of infection.,1.23E+18,na
35,30,Medical advice and self-treatments,Blowing conch shells destroys coronavirus potency.,1.23E+18,na
36,12,Medical advice and self-treatments,Methanol consumption cures or protects against coronavirus.,1.23E+18,na
37,52,"Vaccines, medical treatments, and tests",Chloroquine is a Food and Drug Administration (FDA) approved treatment for COVID-19.,1.23E+18,na
38,57,Community spread and impact,Swans and dolphins swimming in Venice canals following COVID-19 lockdown.,1.23E+18,na
39,22,Medical advice and self-treatments,Cocaine cures coronavirus.,1.23E+18,na
40,32,Community spread and impact,Observing janata curfew will result in the reduction of covid-19 cases by 40%.,1.23E+18,na
41,61,"Public authority actions, policy, and communications",Lions were freed to keep people off the streets in Moscow.,1.23E+18,na
42,40,Medical advice and self-treatments,Cannabis protects against COVID-19.,1.23E+18,na
43,60,Community spread and impact,"A pod of humpback whales returned to the Arabian Sea offshore from Mumbai, India following the COVID-19 lockdown.",1.23E+18,na
44,47,Claims about prominent actors,Actor Keith Lawrence Middlebrook has a cure for COVID-19.,1.23E+18,na
45,33,Medical advice and self-treatments,Eating cabbage prevents coronavirus infection.,1.23E+18,na
46,24,Medical advice and self-treatments,Coronavirus is cured by shuanghuanglian.,1.23E+18,na
47,39,Medical advice and self-treatments,Salt water protects from coronavirus.,1.23E+18,na
48,26,Claims about prominent actors,Kyriakos Velopoulos sells a hand cream which completely kills covid-19.,1.23E+18,na
49,42,Medical advice and self-treatments,Vitamin D pills prevent COVID-19.,1.23E+18,na
50,20,Medical advice and self-treatments,Vitamin D cures coronavirus.,1.23E+18,na
51,46,Claims about prominent actors,Kenneth Copeland on Victory Channel can cure COVID-19 through the TV.,1.23E+18,na
52,58,Community spread and impact,Water polution decreased in Venice canals following COVID-19 lockdown.,1.23E+18,na
53,45,Medical advice and self-treatments,Alex Jones' silver-infused toothpaste kills COVID-19,1.23E+18,na
54,6,Conspiracy theories,A decade-old map published by the World Population Project represents the 2020 coronavirus outbreak.,1.23E+18,na
55,59,Community spread and impact,"A Malabar civet was spotted walking the streets of Meppayur, India following COVID-19 lockdown",1.23E+18,na
56,34,Medical advice and self-treatments,"There is an ""anti-coronavirus"" mattress that could fight the coronavirus.",1.23E+18,na
57,41,Medical advice and self-treatments,CBD oil is a cure for COVID-19.,1.23E+18,na
58,62,Conspiracy theories,Bank of England £20 banknotes contain a picture of a 5G mast and the SARS-CoV-2 virus.,1.23E+18,na
59,29,Medical advice and self-treatments,Clapping will kill coronavirus.,1.23E+18,na
60,56,Other,"A pack of elephants descended on a village under quarantine in China's Yunnan, got drunk on corn wine, and passed out in a tea garden.
.",1.23E+18,na
61,16,Medical advice and self-treatments,Acetic acid is effective against coronavirus.,1.23E+18,na
